model,cv_f1_macro_mean,cv_f1_macro_std,test_acc,test_f1_macro,test_roc_auc_ovr
Best_KNN,0.9820613373554551,0.0219717576917068,0.9736842105263158,0.974320987654321,0.9938461538461539
Baseline_LogReg,0.9638009049773757,0.052768795428464285,0.9210526315789473,0.9229629629629629,0.9958974358974361
Best_SVC,0.9638009049773757,0.052768795428464285,0.9736842105263158,0.974320987654321,0.997948717948718
